Ac-No,Name,sTime,Verify Mode,Machine,Exception
2006,2006,10/3/2015 1:59 PM,PIN,2,
2006,2006,10/3/2015 1:59 PM,PIN,2,
2006,2006,10/3/2015 1:59 PM,PIN,2,
2006,2006,10/3/2015 1:59 PM,PIN,2,
2006,2006,10/3/2015 1:59 PM,PIN,2,
2023,2023,10/3/2015 1:59 PM,PIN,2,
2023,2023,10/3/2015 2:00 PM,PIN,2,
2022,2022,10/3/2015 2:00 PM,PIN,2,
2023,2023,10/3/2015 2:00 PM,PIN,2,
1014,1014,10/3/2015 4:43 PM,PIN,2,
1015,1015,10/3/2015 4:54 PM,PIN,2,
1015,1015,10/3/2015 4:55 PM,PIN,2,
1012,1012,10/3/2015 4:57 PM,PIN,2,
1012,1012,10/3/2015 4:57 PM,PIN,2,
1006,1006,10/3/2015 4:57 PM,PIN,2,
1007,1007,10/3/2015 4:57 PM,PIN,2,
1007,1007,10/3/2015 4:57 PM,PIN,2,
1007,1007,10/3/2015 4:58 PM,PIN,2,
1011,1011,10/3/2015 4:58 PM,PIN,2,
5153,5153,10/3/2015 4:58 PM,PIN,2,
5204,5204,10/3/2015 4:58 PM,PIN,2,
5205,5205,10/3/2015 4:58 PM,PIN,2,
5143,5143,10/3/2015 4:58 PM,PIN,2,
5143,5143,10/3/2015 4:58 PM,PIN,2,
5146,5146,10/3/2015 4:59 PM,PIN,2,
5146,5146,10/3/2015 4:59 PM,PIN,2,
5146,5146,10/3/2015 4:59 PM,PIN,2,
5205,5205,10/3/2015 4:59 PM,PIN,2,
1005,1005,10/3/2015 4:59 PM,PIN,2,
1004,1004,10/3/2015 4:59 PM,PIN,2,
1004,1004,10/3/2015 4:59 PM,PIN,2,
1009,1009,10/3/2015 4:59 PM,PIN,2,
5151,5151,10/3/2015 5:00 PM,PIN,2,
1022,1022,10/3/2015 5:01 PM,PIN,2,
1008,1008,10/3/2015 5:03 PM,PIN,2,
1008,1008,10/3/2015 5:03 PM,PIN,2,
1008,1008,10/3/2015 5:03 PM,PIN,2,
1008,1008,10/3/2015 5:03 PM,PIN,2,
1008,1008,10/3/2015 5:03 PM,PIN,2,
5187,5187,10/3/2015 5:09 PM,PIN,2,
5119,5119,10/3/2015 5:17 PM,PIN,2,
5119,5119,10/3/2015 5:17 PM,PIN,2,
2013,2013,10/3/2015 5:24 PM,PIN,2,
2011,2011,10/3/2015 5:24 PM,PIN,2,
2011,2011,10/3/2015 5:24 PM,PIN,2,
2002,2002,10/3/2015 5:24 PM,PIN,2,
2005,2005,10/3/2015 5:25 PM,PIN,2,
2023,2023,10/3/2015 5:25 PM,PIN,2,
2027,2027,10/3/2015 5:25 PM,PIN,2,
